metric_key,value,fiscal_year,fiscal_period,currency,section,date
open_price,296.03,2026,FY,USD,Market Data,2026-06-12
high_price,297.14,2026,FY,USD,Market Data,2026-06-12
low_price,289.62,2026,FY,USD,Market Data,2026-06-12
close_price,291.13,2026,FY,USD,Market Data,2026-06-12
trading_volume,38742100,2026,FY,USD,Market Data,2026-06-12
open_price,294.12,2026,FY,USD,Market Data,2026-06-15
high_price,297.78,2026,FY,USD,Market Data,2026-06-15
low_price,291.7,2026,FY,USD,Market Data,2026-06-15
close_price,296.42,2026,FY,USD,Market Data,2026-06-15
trading_volume,45732600,2026,FY,USD,Market Data,2026-06-15
open_price,295.25,2026,FY,USD,Market Data,2026-06-16
high_price,300.48,2026,FY,USD,Market Data,2026-06-16
low_price,293.97,2026,FY,USD,Market Data,2026-06-16
close_price,299.24,2026,FY,USD,Market Data,2026-06-16
trading_volume,39874400,2026,FY,USD,Market Data,2026-06-16
open_price,300.85,2026,FY,USD,Market Data,2026-06-17
high_price,302.07,2026,FY,USD,Market Data,2026-06-17
low_price,294.36,2026,FY,USD,Market Data,2026-06-17
close_price,295.95,2026,FY,USD,Market Data,2026-06-17
trading_volume,42745100,2026,FY,USD,Market Data,2026-06-17
open_price,298.11,2026,FY,USD,Market Data,2026-06-18
high_price,300.57,2026,FY,USD,Market Data,2026-06-18
low_price,295.62,2026,FY,USD,Market Data,2026-06-18
close_price,298.01,2026,FY,USD,Market Data,2026-06-18
trading_volume,85962200,2026,FY,USD,Market Data,2026-06-18
open_price,297.31,2026,FY,USD,Market Data,2026-06-22
high_price,302.42,2026,FY,USD,Market Data,2026-06-22
low_price,296.76,2026,FY,USD,Market Data,2026-06-22
close_price,297.01,2026,FY,USD,Market Data,2026-06-22
trading_volume,44879900,2026,FY,USD,Market Data,2026-06-22
open_price,297.54,2026,FY,USD,Market Data,2026-06-23
high_price,301.64,2026,FY,USD,Market Data,2026-06-23
low_price,294.18,2026,FY,USD,Market Data,2026-06-23
close_price,294.3,2026,FY,USD,Market Data,2026-06-23
trading_volume,52010900,2026,FY,USD,Market Data,2026-06-23
open_price,295.36,2026,FY,USD,Market Data,2026-06-24
high_price,299.7,2026,FY,USD,Market Data,2026-06-24
low_price,292.94,2026,FY,USD,Market Data,2026-06-24
close_price,293.08,2026,FY,USD,Market Data,2026-06-24
trading_volume,53081900,2026,FY,USD,Market Data,2026-06-24
open_price,287.4,2026,FY,USD,Market Data,2026-06-25
high_price,288.8,2026,FY,USD,Market Data,2026-06-25
low_price,273.75,2026,FY,USD,Market Data,2026-06-25
close_price,275.15,2026,FY,USD,Market Data,2026-06-25
trading_volume,107013700,2026,FY,USD,Market Data,2026-06-25
open_price,275.0,2026,FY,USD,Market Data,2026-06-26
high_price,285.95,2026,FY,USD,Market Data,2026-06-26
low_price,274.21,2026,FY,USD,Market Data,2026-06-26
close_price,283.78,2026,FY,USD,Market Data,2026-06-26
trading_volume,261775500,2026,FY,USD,Market Data,2026-06-26
open_price,286.73,2026,FY,USD,Market Data,2026-06-29
high_price,288.37,2026,FY,USD,Market Data,2026-06-29
low_price,279.85,2026,FY,USD,Market Data,2026-06-29
close_price,281.74,2026,FY,USD,Market Data,2026-06-29
trading_volume,66427000,2026,FY,USD,Market Data,2026-06-29
open_price,281.17,2026,FY,USD,Market Data,2026-06-30
high_price,289.94,2026,FY,USD,Market Data,2026-06-30
low_price,280.7,2026,FY,USD,Market Data,2026-06-30
close_price,289.36,2026,FY,USD,Market Data,2026-06-30
trading_volume,65100200,2026,FY,USD,Market Data,2026-06-30
open_price,293.44,2026,FY,USD,Market Data,2026-07-01
high_price,296.59,2026,FY,USD,Market Data,2026-07-01
low_price,289.2,2026,FY,USD,Market Data,2026-07-01
close_price,294.38,2026,FY,USD,Market Data,2026-07-01
trading_volume,50164200,2026,FY,USD,Market Data,2026-07-01
open_price,294.12,2026,FY,USD,Market Data,2026-07-02
high_price,309.42,2026,FY,USD,Market Data,2026-07-02
low_price,293.68,2026,FY,USD,Market Data,2026-07-02
close_price,308.63,2026,FY,USD,Market Data,2026-07-02
trading_volume,75352800,2026,FY,USD,Market Data,2026-07-02
open_price,307.36,2026,FY,USD,Market Data,2026-07-06
high_price,314.2,2026,FY,USD,Market Data,2026-07-06
low_price,307.0,2026,FY,USD,Market Data,2026-07-06
close_price,312.66,2026,FY,USD,Market Data,2026-07-06
trading_volume,53590000,2026,FY,USD,Market Data,2026-07-06
open_price,315.29,2026,FY,USD,Market Data,2026-07-07
high_price,315.48,2026,FY,USD,Market Data,2026-07-07
low_price,310.15,2026,FY,USD,Market Data,2026-07-07
close_price,310.66,2026,FY,USD,Market Data,2026-07-07
trading_volume,42490000,2026,FY,USD,Market Data,2026-07-07
open_price,311.91,2026,FY,USD,Market Data,2026-07-08
high_price,314.82,2026,FY,USD,Market Data,2026-07-08
low_price,307.05,2026,FY,USD,Market Data,2026-07-08
close_price,313.39,2026,FY,USD,Market Data,2026-07-08
trading_volume,41323500,2026,FY,USD,Market Data,2026-07-08
open_price,310.51,2026,FY,USD,Market Data,2026-07-09
high_price,316.53,2026,FY,USD,Market Data,2026-07-09
low_price,308.16,2026,FY,USD,Market Data,2026-07-09
close_price,316.22,2026,FY,USD,Market Data,2026-07-09
trading_volume,48124500,2026,FY,USD,Market Data,2026-07-09
open_price,314.72,2026,FY,USD,Market Data,2026-07-10
high_price,316.91,2026,FY,USD,Market Data,2026-07-10
low_price,312.17,2026,FY,USD,Market Data,2026-07-10
close_price,315.32,2026,FY,USD,Market Data,2026-07-10
trading_volume,34109200,2026,FY,USD,Market Data,2026-07-10
